date,headline
20040318,Sensex up 32 points at close
20040322,Sensex slips 78 points at close
20040323,Sensex at 100-day low
20040323,Sensex closes; up 36 points
20040325,Sensex gains 19 points at close
20040329,Sensex correction will lead to buying
20040329,Sensex up 41 points at close
20040330,Sensex dips 60 points at close
20040401,Sensex up 151 points
20040406,Correct deficit; S&P tells India
20040422,Sensex steady; telecom shares up
20040427,Fear of hung House haunts markets; Sensex tumbles
20040428,Bookie 'sensex' too takes a tumble
20040429,Sensex down 45 points
20040429,sensex up 300 points again as market closes on positive mood
20040430,Reliance shines; but Sensex wanes
20040503,Sensex hits one-month low
20040505,UTI holdings come down in Sensex heavyweights
20040506,Exit poll projections lift Sensex
20040511,Sensex falls 114 pts; Re by 39p
20040511,Sensex in freefall after exit poll shock
20040513,Sensex rallies on Congress win
20040514,Bloodbath on bourses: Sensex plunges 330 tts
20040515,BSE to replace L&T stock in Sensex
20040517,Bloodbath on Dalal Street; Sensex in freefall
20040518,COUNTERVIEWBRSensex needs to understand nature of mandate
20040519,Sensex breaches 5;000 mark
20040520,PSU stocks pull Sensex down
20040521,Sensex recoups early losses
20040523,Is the sensex a true barometer of our economic healthbrMarkets dance to a bizarre tune with little impact on investment
20040523,Is the sensex a true barometer of our economic healthbrMarkets tend to be buoyant when the economy is expected to do well
20040524,Sensex breaches 5;000 mark
20040524,Sensex breaches 5;000 mark
20040524,Sensex rallies; IT shines
20040526,Sensex dips 21 pts on DMK; oil worries
20040528,CMP weighs down Sensex by 100 pts
20040528,Sensex crashes 223.16 pts at close
20040528,Of Ash; Sensex and political dust
20040529,Rural Sensex
20040531,FII selling bucks sensex
20040601,FM talk fails to boost Sensex
20040602,Sensex up 89 pts on bank; IT stocks
20040605,Cong tells Left to ease off on Sensex
20040612,IT; banking pull down Sensex 112 pts
20040618,Sensex rises 51 points
20040621,Rupee at 7-mth low; Sensex down 31 pts
20040624,RBI props up rupee; Sensex down 92 points
20040629,Sensex up by 4 pts in narrowly mixed trend
20040630,Techs; Reliance pull down Sensex
20040702,ONGC; Reliance pull Sensex up
20040709,Sensex recoups losses; closes above 4900
20040709,Sensex recoups losses
20040710,COUNTERVIEWBRMyopic Sensex misses the big picture
20040720,Midcap stocks outperform Nifty; Sensex
20040806,Monsoon lifts Sensex 84 points
20040813,Sensex sheds 35 pts on profit booking
20040815,Prudent policies needed to boost Sensex
20040817,L&T replaces MTNL in Sensex recast
20040820,Sensex up 85 points
20040821,Sensex slides as global oil scales $49
20040909,Sensex close to 5;300 level
20040911,Sensex up 72 pts on FI support
20041005,6;000 Sensex looks within striking distance
20041008,Mid-cap; new listings behind Sensex rally
20041104,Sensex Shoots Up 88 Points
20041115,Sensex hits a sixer; but let's wait for a correction
20041117,Sensex just shy of 6K; Re at 5-month high
20041117,Sensex rides on FIIs; sacles 6K
20041118,With Sensex ticking; It's time to invest in IPOs
20041119,Sensex safest in a volatile world
20041130,Sensex closes at all-time high
20041201,Sensex closes at all - time high
20041202,Sensex zooms new historic high
20041210,Sensex falls on Reliance share slump
20041213,Making sense of the Sensex
20041215,BSE sensex touches historic high
20041222,Another round of all-time highs for Sensex; Nifty
20041224,Santa sends Sensex soaring
20041227,RIL at receiving end; Sensex recovers smartly
20041227,Sensex scales 6;500; RIL down 1.3 per cent
20041229,Sensex tests 6.6K waters; ends flat
20041231,markets finish flat as sensex manages to stay above 33800 mark
20050103,Sensex closes at new high of 6;679
20050104,Sensex will breach 7000-level in 2005
20050105,New Year party over; Sensex dips 192 pts
20050105,Low support from FII led to Sensex crash
20050107,May 17 Sensex crash: FM for revealing names; Sebi refuses
20050110,Sensex closes 112 points down
20050128,'A day of good news' for Sensex
20050131,Sensex rallies on PF investment
20050207,Sensex slides 83 points
20050214,Sensex zooms to all-time high; crosses 6700 mark
20050214,Sensex touches an all-time high of 6;719
20050216,S&P wants controlling stake in Crisil
20050216,Sensex rallies past 6700-mark
20050301,PC makes speech; Sensex history
20050301,Sensex dips 63 pts; software; oil hit
20050303,Sensex zoomed to 6793 points
20050303,Sensex closes at 6;785; a record high
20050304,Sensex at a record high of 6;849
20050307,Soaring Sensex touches 6;900 mark
20050310,Sensex weak at opening
20050321,Sensex under pressure at early stages
20050323,Sensex slides 121 points ahead of US Fed rate meet
20050330,Sensex still on a slide
20050401,Sensex rises on 111-pt rally; nears 6.5K
20050403,Sensex to move upwards
20050505,Sensex gains 142 points
20050510,S&P buys majority equity in Crisil
20050510,Sensex gains 93 points; eyes 6;500
20050621,Credit quality of RIL may weaken: S&P
20050621,New high: Sensex touches 7057.31
20050621,Sensex gains 92 pts to close at 7;077
20050622,Sensex zooms past 7;000 mark again
20050627,Reliance stocks lift sensex
20050706,Sensex scales 7300; but closes lower
20050706,Sensex opens firm; up by 59 pts
20050706,Sensex hits new all-time high
20050712,Sensex breaches 7300 barrier
20050719,Sensex on record breaking spree
20050723,Sensex on a bull run; touches 7423 points
20050725,Bull run! Sensex hits all time high
20050725,Bull run! Sensex hits all-time high
20050725,Japanese pull: Sensex tops 7500
20050727,New peak: Sensex scales 7600
20050807,As Mumbai sank; Sensex soared
20050810,Sensex bounces back 134 pts
20050811,Despite odds; Sensex scales 7800
20050818,Sensex soars; touches 7;900 mark
20050905,Sensex slips from record high; closes 25 pts up
20050905,Sensex set to kiss 8K
20050905,Sensex scales 7;900 on FII support
20050906,Sensex closes at all-time high
20050906,Graph: Sensex journey frm 7000 to 8000
20050908,Sensex hits new peak; touches 8;000
20050909,Sebi; FM not worried over Sensex crossing 8;000
20050909,Sensex opens low; still over 8;000
20050909,Sensex starts moving up again
20050909,Sensex down after touching all-time high
20050909,Closing hour surge sees Sensex at record high
20050910,As Sensex soars; Gujaratis smile!
20050912,Sensex touches yet another high
20050914,Sensex records new high at 8225.17
20050915,Sensex surges 94 pts; closes at 8284
20050916,Sensex at 8380; rises 97 pts
20050917,Bullish sensex puts govt on alert
20050919,Sensex soars to 8;400 mark
20050920,Sensex crosses 8500 level
20050922,Large fall: Sensex dips by 260 pts
20050922,Sensex plunges 266 points
20050923,Sensex up on pivotal gains
20050923,Markets recover; Sensex; Nifty move north
20050927,Sensex surges 256 points
20050929,Sensex scales 8;600
20050929,Sensex scales new peak at 8;700
20050930,Sensex set to light up Diwali
20051004,Soaring: Sensex crosses 8;800
20051015,Bear grip: Sensex crashes 175 pts
20051019,Sensex plunges below 8;000-mark
